humidity,soil_moisture,t_inside,t_outside
36.1,36,19.7,14.06
36,36,19.7,14.06
36.1,36,19.7,14.12
35.9,36,19.7,14.12
35.9,36,19.7,14.12
36,36,19.7,14.12
36.1,36,19.7,14.12
35.9,36,19.7,14.19
35.7,36,19.7,14.12
35.8,36,19.7,14.12
35.9,36,19.7,14.19
35.9,36,19.8,14.12
36,36,19.8,14.12
35.9,36,19.8,14.25
36,36,19.8,14.25
36,36,19.7,14.25
35.9,36,19.7,14.19
36,36,19.7,14.31
35.7,36,19.7,14.25
35.8,36,19.7,14.19
35.8,36,19.7,14.19
35.9,36,19.7,14.12
36.1,36,19.7,14.12
35.9,36,19.7,14.12
36.1,36,19.7,14.12
36.3,36,19.7,14.19
36.2,36,19.8,14.19
35.9,36,19.8,14.25
35.9,36,19.8,14.31
36,36,19.8,14.31
36.1,36,19.8,14.31
36.2,36,19.8,14.31
35.9,36,19.8,14.37
35.8,36,19.8,14.37
36.1,36,19.8,14.44
36.1,36,19.8,14.37
36.1,36,19.8,14.37
36.4,36,19.8,14.37
36.4,36,19.8,14.37
36.3,36,19.7,14.37
36.1,36,19.7,14.37
36.1,36,19.7,14.37
36,36,19.7,14.44
35.8,36,19.7,14.31
36.1,36,19.7,14.31
36.1,36,19.7,14.37
36.1,36,19.7,14.37
36.1,36,19.8,14.31
36,36,19.7,14.31
36,36,19.8,14.31
35.8,36,19.7,14.31
35.8,36,19.7,14.31
36,36,19.7,14.37
36.1,36,19.7,14.37
36,36,19.7,14.37
35.9,36,19.7,14.37
36,36,19.7,14.37
36.2,36,19.7,14.37
36.4,36,19.8,14.37
36.5,36,19.8,14.37
36.3,36,19.8,14.31
36.3,36,19.8,14.37
36.4,36,19.8,14.31
36.4,36,19.7,14.31
36.2,36,19.8,14.25
36.1,36,19.8,14.31
36,36,19.7,14.25
36,36,19.7,14.25
36,36,19.7,14.25
36.4,36,19.7,14.25
36.2,36,19.7,14.25
36,36,19.7,14.25
36.2,36,19.7,14.25
36.2,36,19.7,14.25
36.4,36,19.7,14.25
36.3,36,19.7,14.25
36.4,36,19.7,14.25
36.3,36,19.7,14.25
36.1,36,19.7,14.31
36.4,36,19.7,14.25
36.5,36,19.7,14.25
36.7,36,19.7,14.25
36.4,36,19.7,14.19
36.1,36,19.7,14.19
